id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed
0811.3145,Jesus Aldaz Munarriz,J. M. Aldaz,A refinement of the inequality between arithmetic and geometric means,"To appear, Journal of Mathematical Inequalities","J. Math. Inequal. 2 (2008), no. 4, 473--477.",,,math.CA,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In this note we present a refinement of the AM-GM inequality, and then we
estimate in a special case the typical size of the improvement.
","[{'version': 'v1', 'created': 'Wed, 19 Nov 2008 16:37:29 GMT'}]",2009-10-30,"[['Aldaz', 'J. M.', '']]"
0908.1289,David Bugg,"D.V. Bugg (Queen Mary, University of London, UK)",Parity doubling of highly excited mesons,"7 pages, 2 figures, 1 table. Further experimental detail added and
  additional algebra. Conclusions unchanged. To be published in Physics Letters
  B","Phys.Lett.B680:297-300,2009",10.1016/j.physletb.2009.09.017,,hep-ex nucl-ex,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Glozman has proposed that highly excited mesons and baryons fall into parity
doublets, and that the f4(2050) on the leading Regge trajectory should have a
nearly degenerate J^{PC} = 4^{-+} partner. A re-analysis of Crystal Barrel data
does not support this idea. A likely explanation is that centrifugal barriers
on the leading trajectory allow formation of the L=J-1 states, but are too
strong to allow L=J states. Two new polarisation experiments have the potential
for major progress in meson spectroscopy.
","[{'version': 'v1', 'created': 'Mon, 10 Aug 2009 10:57:08 GMT'}, {'version': 'v2', 'created': 'Sun, 27 Sep 2009 16:34:17 GMT'}]",2009-10-29,"[['Bugg', 'D. V.', '', 'Queen Mary, University of London, UK']]"
2206.08477,Akshayvarun Subramanya,"Akshayvarun Subramanya, Aniruddha Saha, Soroush Abbasi Koohpayegani,
  Ajinkya Tejankar, Hamed Pirsiavash",Backdoor Attacks on Vision Transformers,,,,,cs.CV cs.CR cs.LG,http://creativecommons.org/licenses/by/4.0/,"  Vision Transformers (ViT) have recently demonstrated exemplary performance on
a variety of vision tasks and are being used as an alternative to CNNs. Their
design is based on a self-attention mechanism that processes images as a
sequence of patches, which is quite different compared to CNNs. Hence it is
interesting to study if ViTs are vulnerable to backdoor attacks. Backdoor
attacks happen when an attacker poisons a small part of the training data for
malicious purposes. The model performance is good on clean test images, but the
attacker can manipulate the decision of the model by showing the trigger at
test time. To the best of our knowledge, we are the first to show that ViTs are
vulnerable to backdoor attacks. We also find an intriguing difference between
ViTs and CNNs - interpretation algorithms effectively highlight the trigger on
test images for ViTs but not for CNNs. Based on this observation, we propose a
test-time image blocking defense for ViTs which reduces the attack success rate
by a large margin. Code is available here:
https://github.com/UCDvision/backdoor_transformer.git
","[{'version': 'v1', 'created': 'Thu, 16 Jun 2022 22:55:32 GMT'}]",2022-06-20,"[['Subramanya', 'Akshayvarun', ''], ['Saha', 'Aniruddha', ''], ['Koohpayegani', 'Soroush Abbasi', ''], ['Tejankar', 'Ajinkya', ''], ['Pirsiavash', 'Hamed', '']]"
2311.18500,Kohei Nagai,"Kohei Nagai, Takuya Okamoto, Yasushi Shinohara, Haruki Sanada, and
  Katsuya Oguri","High harmonic spin-orbit angular momentum generation in crystalline
  solids preserving multiscale dynamical symmetry",,,,,physics.optics,http://creativecommons.org/licenses/by/4.0/,"  Symmetries essentially provide conservation rules in nonlinear light-matter
interactions, that facilitate control and understanding of photon conversion
processes or electron dynamics. Since anisotropic solids have rich symmetries,
they are strong candidate to control both optical micro- and macroscale
structures, namely spin (circular polarization) and orbital angular momentum
(spiral wavefront), respectively. Here, we show structured high harmonic
generation linked to the anisotropic symmetry of a solid. By strategically
preserving a dynamical symmetry arising from the spin-orbit interaction of
light, we generate multiple orbital angular momentum states in high-order
harmonics. The experimental results exhibit the total angular momentum
conservation rule of light even in the extreme nonlinear region, which is
evidence that the mechanism originates from a dynamical symmetry. Our study
provides a deeper understanding of multiscale nonlinear optical phenomena and a
general guideline for using electronic structure to control structured light,
such as through Floquet engineering.
","[{'version': 'v1', 'created': 'Thu, 30 Nov 2023 12:23:15 GMT'}, {'version': 'v2', 'created': 'Fri, 1 Dec 2023 02:37:15 GMT'}, {'version': 'v3', 'created': 'Mon, 11 Mar 2024 06:16:01 GMT'}]",2024-03-12,"[['Nagai', 'Kohei', ''], ['Okamoto', 'Takuya', ''], ['Shinohara', 'Yasushi', ''], ['Sanada', 'Haruki', ''], ['Oguri', 'Katsuya', '']]"
1908.01110,Stuart Raby,Herbert Clemens and Stuart Raby,F-theory over a Fano threefold built from $A_{4}$-roots,"26 pages, 4 figures, Lemma 6 has been added in order to clarify the
  discussion, section 6 has been revised. Section 8 has been revised in order
  to correct a mistake in the original version",,,,hep-th math-ph math.MP,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In a previous paper, the authors showed the advantages of building a
$\mathbb{Z}_{2}$-action into an $F$-theory model $W_{4}/B_{3}$, namely the
action of complex conjugation on the complex algebraic group with compact real
form $E_{8}$. The goal of this paper is to construct the Fano threefold $B_{3}$
directly from the roots of $SU\left(5\right)$ in such a way that the action of
complex conjugation is exactly the desired $\mathbb{Z}_{2}$-action and the
quotient of this action on $W_{4}/B_{3}$ and its Heterotic dual have the
phenomenologically correct invariants.
","[{'version': 'v1', 'created': 'Sat, 3 Aug 2019 02:38:38 GMT'}, {'version': 'v2', 'created': 'Wed, 17 Jun 2020 21:04:58 GMT'}, {'version': 'v3', 'created': 'Mon, 18 Oct 2021 18:12:07 GMT'}, {'version': 'v4', 'created': 'Tue, 21 Dec 2021 18:18:30 GMT'}, {'version': 'v5', 'created': 'Tue, 20 Dec 2022 17:19:18 GMT'}]",2022-12-21,"[['Clemens', 'Herbert', ''], ['Raby', 'Stuart', '']]"
cond-mat/0508154,Kai Berggold,"K. Berggold, T. Lorenz, J. Baier, M. Kriener, D. Senff, S. Barilo and
  A. Freimuth","Thermal conductivity of R2CuO4, with R = La, Pr and Gd","2 pages, 1 figure; presented at SCES2005","Physica B 378-380, 1064 (2006)",10.1016/j.physb.2006.01.411,,cond-mat.str-el,,"  We present measurements of the in-plane kappa_ab and out-of-plane kappa_c
thermal conductivity of Pr2CuO4 and Gd2CuO4 single crystals. The anisotropy
gives strong evidence for a large contribution of magnetic excitations to
kappa_ab i.e. for a heat current within the CuO2 planes. However, the absolute
values of kappa_mag are lower than previous results on La2CuO4. These
differences probably arise from deviations from the nominal oxygen
stoichiometry. This has a drastic influence on kappa_mag, which is shown by an
investigation of a La2CuO4+delta polycrystal.
","[{'version': 'v1', 'created': 'Fri, 5 Aug 2005 16:17:29 GMT'}]",2009-11-11,"[['Berggold', 'K.', ''], ['Lorenz', 'T.', ''], ['Baier', 'J.', ''], ['Kriener', 'M.', ''], ['Senff', 'D.', ''], ['Barilo', 'S.', ''], ['Freimuth', 'A.', '']]"
math-ph/9807011,Alexander Donkov,"A. A. Donkov, A. D. Donkov, E. I. Grancharova","The Exact Solutions of Some Multidimensional Generalizations of the
  Fokker-Planck Equation used by R. Friedrich and J. Peinke for the Description
  of a Turbulent Cascade","6 pages, latex, no figures; new e-mail address added; typos corrected
  in formulae (3) and (17)",,,SU-FzF: 15/98 Sofia,math-ph cond-mat math.MP physics.flu-dyn,,"  Some multidimensional generalizations of the Fokker-Planck equation used by
R. Friedrich and J. Peinke for the description of a turbulent cascade as a
stochastic process of Markovian type, are considered. The exact solutions of
the Cauchy problems for these equations are found with the operator methods.
","[{'version': 'v1', 'created': 'Fri, 10 Jul 1998 12:47:23 GMT'}, {'version': 'v2', 'created': 'Sun, 12 Jul 1998 14:38:13 GMT'}, {'version': 'v3', 'created': 'Tue, 11 Aug 1998 17:00:18 GMT'}]",2007-05-23,"[['Donkov', 'A. A.', ''], ['Donkov', 'A. D.', ''], ['Grancharova', 'E. I.', '']]"
1805.07566,Yunus Can Bilge,"Mehmet Kerim Yucel, Yunus Can Bilge, Oguzhan Oguz, Nazli
  Ikizler-Cinbis, Pinar Duygulu, Ramazan Gokberk Cinbis",Wildest Faces: Face Detection and Recognition in Violent Settings,Submitted to BMVC 2018,,,,cs.CV,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  With the introduction of large-scale datasets and deep learning models
capable of learning complex representations, impressive advances have emerged
in face detection and recognition tasks. Despite such advances, existing
datasets do not capture the difficulty of face recognition in the wildest
scenarios, such as hostile disputes or fights. Furthermore, existing datasets
do not represent completely unconstrained cases of low resolution, high blur
and large pose/occlusion variances. To this end, we introduce the Wildest Faces
dataset, which focuses on such adverse effects through violent scenes. The
dataset consists of an extensive set of violent scenes of celebrities from
movies. Our experimental results demonstrate that state-of-the-art techniques
are not well-suited for violent scenes, and therefore, Wildest Faces is likely
to stir further interest in face detection and recognition research.
","[{'version': 'v1', 'created': 'Sat, 19 May 2018 10:46:24 GMT'}]",2018-05-22,"[['Yucel', 'Mehmet Kerim', ''], ['Bilge', 'Yunus Can', ''], ['Oguz', 'Oguzhan', ''], ['Ikizler-Cinbis', 'Nazli', ''], ['Duygulu', 'Pinar', ''], ['Cinbis', 'Ramazan Gokberk', '']]"
2206.04102,Aneesh Naik,Aneesh Naik and Axel Widmark,The missing radial velocities of Gaia: blind predictions for DR3,"Updated to match version accepted by MNRAS. Radial velocity
  prediction catalogues available at https://dx.doi.org/10.17639/nott.7216",,10.1093/mnras/stac2425,,astro-ph.GA,http://creativecommons.org/licenses/by/4.0/,"  While Gaia has observed the phase space coordinates of over a billion stars
in the Galaxy, in the overwhelming majority of cases it has only obtained five
of the six coordinates, the missing dimension being the radial (line-of-sight)
velocity. Using a realistic mock dataset, we show that Bayesian neural networks
are highly capable of 'learning' these radial velocities as a function of the
other five coordinates, and thus filling in the gaps. For a given star, the
network outputs are not merely point predictions, but full posterior
distributions encompassing the intrinsic scatter of the stellar phase space
distribution, the observational uncertainties on the network inputs, and any
'epistemic' uncertainty stemming from our ignorance about the stellar phase
space distribution. Applying this technique to the real Gaia data, we generate
and publish a catalogue of posteriors (median width: 25 km/s) for the radial
velocities of 16 million Gaia DR2/EDR3 stars in the magnitude range 6<G<14.5.
Many of these gaps will be filled in very soon by Gaia DR3, which will serve to
test our blind predictions. Thus, the primary use of our published catalogue
will be to validate our method, justifying its future use in generating an
updated catalogue of posteriors for radial velocities missing from Gaia DR3.
","[{'version': 'v1', 'created': 'Wed, 8 Jun 2022 18:06:05 GMT'}, {'version': 'v2', 'created': 'Wed, 28 Sep 2022 11:53:05 GMT'}]",2022-09-29,"[['Naik', 'Aneesh', ''], ['Widmark', 'Axel', '']]"
1505.02034,Danny Tsebrenko Portman,"Danny Tsebrenko and Noam Soker (Technion, Israel)",Type Ia Supernova Remnants: Shaping by Iron Bullets,"7 pages, 5 figures. Accepted to MNRAS",,10.1093/mnras/stv1641,,astro-ph.HE astro-ph.GA astro-ph.SR,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Using 2D numerical hydrodynamical simulations of type Ia supernova remnants
(SNR Ia) we show that iron clumps few times denser than the rest of the SN
ejecta might form protrusions in an otherwise spherical SNR. Such protrusions
exist in some SNR Ia, e.g., SNR 1885 and Tycho. Iron clumps are expected to
form in the deflagration to detonation explosion model. In SNR Ia where there
are two opposite protrusions, termed ears, such as Kepler's SNR and SNR
G1.9+0.3, our scenario implies that the dense clumps, or iron bullets, were
formed along an axis. Such a preferred axis can result from a rotating white
dwarf progenitor. If our claim holds, this offers an important clue to the SN
Ia explosion scenario.
","[{'version': 'v1', 'created': 'Thu, 7 May 2015 14:24:50 GMT'}, {'version': 'v2', 'created': 'Thu, 13 Aug 2015 11:42:39 GMT'}]",2015-08-14,"[['Tsebrenko', 'Danny', '', 'Technion, Israel'], ['Soker', 'Noam', '', 'Technion, Israel']]"
hep-th/9810217,Young-Jai Park,"Mu-In Park, Young-Jai Park, and Sean J. Yoon","The quantization of the chiral Schwinger model based on the BFT-BFV
  formalism II","17 pages, To be published in J. Phys. G","J.Phys.G24:2179-2188,1998",10.1088/0954-3899/24/12/002,SOGANG-HEP 218/97,hep-th,,"  We apply an improved version of Batalin-Fradkin-Tyutin (BFT) Hamiltonian
method to the a=1 chiral Schwinger Model, which is much more nontrivial than
the a>1.$ one. Furthermore, through the path integral quantization, we newly
resolve the problem of the non-trivial $\delta$ function as well as that of the
unwanted Fourier parameter $\xi$ in the measure. As a result, we explicitly
obtain the fully gauge invariant partition function, which includes a new type
of Wess-Zumino (WZ) term irrelevant to the gauge symmetry as well as usual WZ
action.
","[{'version': 'v1', 'created': 'Tue, 27 Oct 1998 06:13:10 GMT'}]",2008-11-26,"[['Park', 'Mu-In', ''], ['Park', 'Young-Jai', ''], ['Yoon', 'Sean J.', '']]"
2401.01527,Zongwei Wang,"Zongwei Wang, Min Gao, Junliang Yu, Hao Ma, Hongzhi Yin, Shazia Sadiq",Poisoning Attacks against Recommender Systems: A Survey,"9 pages,3 figures",,,,cs.IR,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Modern recommender systems (RS) have seen substantial success, yet they
remain vulnerable to malicious activities, notably poisoning attacks. These
attacks involve injecting malicious data into the training datasets of RS,
thereby compromising their integrity and manipulating recommendation outcomes
for gaining illicit profits. This survey paper provides a systematic and
up-to-date review of the research landscape on Poisoning Attacks against
Recommendation (PAR). A novel and comprehensive taxonomy is proposed,
categorizing existing PAR methodologies into three distinct categories:
Component-Specific, Goal-Driven, and Capability Probing. For each category, we
discuss its mechanism in detail, along with associated methods. Furthermore,
this paper highlights potential future research avenues in this domain.
Additionally, to facilitate and benchmark the empirical comparison of PAR, we
introduce an open-source library, ARLib, which encompasses a comprehensive
collection of PAR models and common datasets. The library is released at
https://github.com/CoderWZW/ARLib.
","[{'version': 'v1', 'created': 'Wed, 3 Jan 2024 03:40:53 GMT'}, {'version': 'v2', 'created': 'Thu, 11 Jan 2024 15:28:15 GMT'}, {'version': 'v3', 'created': 'Sun, 14 Jan 2024 04:38:25 GMT'}]",2024-01-17,"[['Wang', 'Zongwei', ''], ['Gao', 'Min', ''], ['Yu', 'Junliang', ''], ['Ma', 'Hao', ''], ['Yin', 'Hongzhi', ''], ['Sadiq', 'Shazia', '']]"
math/9901070,,Victor Kac,"Corrections to the book ``Vertex algebras for beginners'', second
  edition, by Victor Kac","5 pages, LaTeX",,,,math.QA,,"  These are corrections to the second edition of the book ``Vertex algebras for
beginners'', University Lecture Series, 10, American Mathematical Society,
Providence, RI, 1998.
","[{'version': 'v1', 'created': 'Mon, 18 Jan 1999 13:20:50 GMT'}]",2007-05-23,"[['Kac', 'Victor', '']]"
1805.02540,Fran\c{c}ois Gonze FG,"Fran\c{c}ois Gonze and Rapha\""el M. Jungers",On Completely Reachable Automata and Subset Reachability,A 12 pages version has been submitted to DLT 2018,,,,cs.FL,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  This article focuses on subset reachability in synchronizing automata. First,
we provide families of synchronizing automata with subsets which cannot be
reached with short words. These families do not fulfil Don's Conjecture about
subset reachability. Moreover, they show that some subsets need exponentially
long words to be reached, and that the restriction of the conjecture to
included subsets also does not hold. Second, we analyze completely reachable
automata and provide a counterexample to the conjecture of Bondar and Volkov
about the so-called $\Gamma_1$-graph. We finally prove an alternative version
of this conjecture.
","[{'version': 'v1', 'created': 'Mon, 7 May 2018 14:23:38 GMT'}]",2018-05-08,"[['Gonze', 'François', ''], ['Jungers', 'Raphaël M.', '']]"
1207.2628,Jacqueline Anderson,Jacqueline Anderson,Bounds on the radius of the p-adic Mandelbrot set,,"Acta Arithmetica 158 (2013) , 253-269",10.4064/aa158-3-5,,math.NT math.DS,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Let f be a degree d polynomial defined over the nonarchimedean field C_p,
normalized so f is monic and f(0)=0. We say f is post-critically bounded, or
PCB, if all of its critical points have bounded orbit under iteration of f. It
is known that if p is greater than or equal to d and f is PCB, then all
critical points of f have p-adic absolute value less than or equal to 1. We
give a similar result for primes between d/2 and d. We also explore a
one-parameter family of cubic polynomials over the 2-adic numbers to illustrate
that the p-adic Mandelbrot set can be quite complicated when p is less than d,
in contrast with the simple and well-understood p > d case.
","[{'version': 'v1', 'created': 'Wed, 11 Jul 2012 13:12:29 GMT'}, {'version': 'v2', 'created': 'Sat, 26 Jan 2013 17:28:33 GMT'}]",2017-03-29,"[['Anderson', 'Jacqueline', '']]"
1810.10118,Rajiv Khanna,"Rajiv Khanna, Been Kim, Joydeep Ghosh, Oluwasanmi Koyejo",Interpreting Black Box Predictions using Fisher Kernels,,,,,cs.LG stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Research in both machine learning and psychology suggests that salient
examples can help humans to interpret learning models. To this end, we take a
novel look at black box interpretation of test predictions in terms of training
examples. Our goal is to ask `which training examples are most responsible for
a given set of predictions'? To answer this question, we make use of Fisher
kernels as the defining feature embedding of each data point, combined with
Sequential Bayesian Quadrature (SBQ) for efficient selection of examples. In
contrast to prior work, our method is able to seamlessly handle any sized
subset of test predictions in a principled way. We theoretically analyze our
approach, providing novel convergence bounds for SBQ over discrete candidate
atoms. Our approach recovers the application of influence functions for
interpretability as a special case yielding novel insights from this
connection. We also present applications of the proposed approach to three use
cases: cleaning training data, fixing mislabeled examples and data
summarization.
","[{'version': 'v1', 'created': 'Tue, 23 Oct 2018 22:41:41 GMT'}]",2018-10-25,"[['Khanna', 'Rajiv', ''], ['Kim', 'Been', ''], ['Ghosh', 'Joydeep', ''], ['Koyejo', 'Oluwasanmi', '']]"
1810.11426,Francesca Arici,"Francesca Arici, Piotr M. Hajac, Mariusz Tobolski","Associated noncommutative vector bundles over the Vaksman-Soibelman
  quantum complex projective spaces",8 pages,,10.4064/bc120-12,,math.KT math.QA,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  By a diagonal embedding of $U(1)$ in $SU_q(m)$, we prolongate the diagonal
circle action on the Vaksman-Soibelman quantum sphere $S^{2n+1}_q$ to the
$SU_q(m)$-action on the prolongated bundle. Then we prove that the
noncommutative vector bundles associated via the fundamental representation of
$SU_q(m)$, for $m\in\{2,\ldots,n\}$, yield generators of the even K-theory
group of the C*-algebra of the Vaksman-Soibelman quantum complex projective
space $\mathbb{C}{\rm P}^n_q$.
","[{'version': 'v1', 'created': 'Fri, 26 Oct 2018 17:16:58 GMT'}]",2022-01-12,"[['Arici', 'Francesca', ''], ['Hajac', 'Piotr M.', ''], ['Tobolski', 'Mariusz', '']]"
hep-th/9710243,Chris Pope,"I.V. Lavrinenko, H. Lu and C.N. Pope",Fibre Bundles and Generalised Dimensional Reduction,"23 pages, Latex","Class.Quant.Grav.15:2239-2256,1998",10.1088/0264-9381/15/8/008,"CTP TAMU-43/97, LPTENS-97/50",hep-th,,"  We study some geometrical and topological aspects of the generalised
dimensional reduction of supergravities in D=11 and D=10 dimensions, which give
rise to massive theories in lower dimensions. In these reductions, a global
symmetry is used in order to allow some of the fields to have a non-trivial
dependence on the compactifying coordinates. Global consistency in the internal
space imposes topological restrictions on the parameters of the
compactification as well as the structure of the space itself. Examples that we
consider include the generalised reduction of the type IIA and type IIB
theories on a circle, and also the massive ten-dimensional theory obtained by
the generalised reduction of D=11 supergravity.
","[{'version': 'v1', 'created': 'Fri, 31 Oct 1997 01:25:05 GMT'}]",2009-10-07,"[['Lavrinenko', 'I. V.', ''], ['Lu', 'H.', ''], ['Pope', 'C. N.', '']]"
1901.05104,Bao Zhao,"Bao Zhao, Xiaobo Chen, Xinyi Le and Juntong Xi","A Comprehensive Performance Evaluation for 3D Transformation Estimation
  Techniques",,,,,cs.CV,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  3D local feature extraction and matching is the basis for solving many tasks
in the area of computer vision, such as 3D registration, modeling, recognition
and retrieval. However, this process commonly draws into false correspondences,
due to noise, limited features, occlusion, incomplete surface and etc. In order
to estimate accurate transformation based on these corrupted correspondences,
numerous transformation estimation techniques have been proposed. However, the
merits, demerits and appropriate application for these methods are unclear
owing to that no comprehensive evaluation for the performance of these methods
has been conducted. This paper evaluates eleven state-of-the-art transformation
estimation proposals on both descriptor based and synthetic correspondences. On
descriptor based correspondences, several evaluation items (including the
performance on different datasets, robustness to different overlap ratios and
the performance of these technique combined with Iterative Closest Point (ICP),
different local features and LRF/A techniques) of these methods are tested on
four popular datasets acquired with different devices. On synthetic
correspondences, the robustness of these methods to varying percentages of
correct correspondences (PCC) is evaluated. In addition, we also evaluate the
efficiencies of these methods. Finally, the merits, demerits and application
guidance of these tested transformation estimation methods are summarized.
","[{'version': 'v1', 'created': 'Wed, 16 Jan 2019 01:46:46 GMT'}]",2019-01-17,"[['Zhao', 'Bao', ''], ['Chen', 'Xiaobo', ''], ['Le', 'Xinyi', ''], ['Xi', 'Juntong', '']]"
1108.1888,Gang Liu,Gang Liu,3-manifolds with nonnegative Ricci curvature,"Revised version, accepted by Inventiones Mathematicae",,,,math.DG,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  For a noncompact 3-manifold with nonnegative Ricci curvature, we prove that
either it is diffeomorphic to $\mathbb{R}^3$ or the universal cover splits. As
a corollary, it confirms a conjecture of Milnor in dimension 3.
","[{'version': 'v1', 'created': 'Tue, 9 Aug 2011 09:15:45 GMT'}, {'version': 'v2', 'created': 'Fri, 5 Oct 2012 02:47:59 GMT'}]",2012-10-08,"[['Liu', 'Gang', '']]"
2304.00702,Xiangchong Li,"Xiangchong Li, Tianqing Zhang, Sunao Sugiyama, Roohi Dalal, Ryo
  Terasawa, Markus M. Rau, Rachel Mandelbaum, Masahiro Takada, Surhud More,
  Michael A. Strauss, Hironao Miyatake, Masato Shirasaki, Takashi Hamana,
  Masamune Oguri, Wentao Luo, Atsushi J. Nishizawa, Ryuichi Takahashi, Andrina
  Nicola, Ken Osato, Arun Kannawadi, Tomomi Sunayama, Robert Armstrong, James
  Bosch, Yutaka Komiyama, Robert H. Lupton, Nate B. Lust, Lauren A. MacArthur,
  Satoshi Miyazaki, Hitoshi Murayama, Takahiro Nishimichi, Yuki Okura, Paul A.
  Price, Philip J. Tait, Masayuki Tanaka, and Shiang-Yu Wang","Hyper Suprime-Cam Year 3 Results: Cosmology from Cosmic Shear Two-point
  Correlation Functions","38 pages, 32 figures, 4 tables (PRD in press.)",,,,astro-ph.CO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We perform a blinded cosmology analysis with cosmic shear two-point
correlation functions (2PCFs) measured from more than 25 million galaxies in
the Hyper Suprime-Cam three-year shear catalog in four tomographic redshift
bins ranging from 0.3 to 1.5. After conservative masking and galaxy selection,
the survey covers 416 deg$^2$ of the northern sky with an effective galaxy
number density of 15 arcmin$^{-2}$ over the four redshift bins. The 2PCFs
adopted for cosmology analysis are measured in the angular range: $7.1 <
\theta/{\rm arcmin} < 56.6$ for $\xi_+$ and $31.2 <\theta/{\rm arcmin} < 248$
for $\xi_-$, with a total signal-to-noise ratio of 26.6. We apply a
conservative, wide, flat prior on the photometric redshift errors on the last
two tomographic bins, and the relative magnitudes of the cosmic shear amplitude
across four redshift bins allow us to calibrate the photometric redshift
errors. With this flat prior on redshift errors, we find $\Omega_{\rm
m}=0.256_{-0.044}^{+0.056}$ and $S_8\equiv \sigma_8 \sqrt{\Omega_{\rm
m}/0.3}=0.769_{-0.034}^{+0.031}$ (both 68\% CI) for a flat $\Lambda$ cold dark
matter cosmology. We find, after unblinding, that our constraint on $S_8$ is
consistent with the Fourier space cosmic shear and the 3$\times$2pt analyses on
the same HSC dataset. We carefully study the potential systematics from
astrophysical and systematic model uncertainties in our fiducial analysis using
synthetic data, and report no biases (including projection bias in the
posterior space) greater than $0.5\sigma$ in the estimation of $S_8$. Our
analysis hints that the mean redshifts of the two highest tomographic bins are
higher than initially estimated. In addition, a number of consistency tests are
conducted to assess the robustness of our analysis. Comparing our result with
Planck-2018 cosmic microwave background observations, we find a ~$2\sigma$
tension for the $\Lambda$CDM model.
","[{'version': 'v1', 'created': 'Mon, 3 Apr 2023 03:37:02 GMT'}, {'version': 'v2', 'created': 'Tue, 4 Apr 2023 17:21:56 GMT'}, {'version': 'v3', 'created': 'Thu, 30 Nov 2023 23:20:07 GMT'}]",2023-12-04,"[['Li', 'Xiangchong', ''], ['Zhang', 'Tianqing', ''], ['Sugiyama', 'Sunao', ''], ['Dalal', 'Roohi', ''], ['Terasawa', 'Ryo', ''], ['Rau', 'Markus M.', ''], ['Mandelbaum', 'Rachel', ''], ['Takada', 'Masahiro', ''], ['More', 'Surhud', ''], ['Strauss', 'Michael A.', ''], ['Miyatake', 'Hironao', ''], ['Shirasaki', 'Masato', ''], ['Hamana', 'Takashi', ''], ['Oguri', 'Masamune', ''], ['Luo', 'Wentao', ''], ['Nishizawa', 'Atsushi J.', ''], ['Takahashi', 'Ryuichi', ''], ['Nicola', 'Andrina', ''], ['Osato', 'Ken', ''], ['Kannawadi', 'Arun', ''], ['Sunayama', 'Tomomi', ''], ['Armstrong', 'Robert', ''], ['Bosch', 'James', ''], ['Komiyama', 'Yutaka', ''], ['Lupton', 'Robert H.', ''], ['Lust', 'Nate B.', ''], ['MacArthur', 'Lauren A.', ''], ['Miyazaki', 'Satoshi', ''], ['Murayama', 'Hitoshi', ''], ['Nishimichi', 'Takahiro', ''], ['Okura', 'Yuki', ''], ['Price', 'Paul A.', ''], ['Tait', 'Philip J.', ''], ['Tanaka', 'Masayuki', ''], ['Wang', 'Shiang-Yu', '']]"
0805.2501,G. J. McLachlan,"G. J. McLachlan, J. Chevelu, J. Zhu","Correcting for selection bias via cross-validation in the classification
  of microarray data","Published in at http://dx.doi.org/10.1214/193940307000000284 the IMS
  Collections (http://www.imstat.org/publications/imscollections.htm) by the
  Institute of Mathematical Statistics (http://www.imstat.org)","IMS Collections 2008, Vol. 1, 364-376",10.1214/193940307000000284,IMS-COLL1-IMSCOLL128,math.ST stat.ME stat.TH,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  There is increasing interest in the use of diagnostic rules based on
microarray data. These rules are formed by considering the expression levels of
thousands of genes in tissue samples taken on patients of known classification
with respect to a number of classes, representing, say, disease status or
treatment strategy. As the final versions of these rules are usually based on a
small subset of the available genes, there is a selection bias that has to be
corrected for in the estimation of the associated error rates. We consider the
problem using cross-validation. In particular, we present explicit formulae
that are useful in explaining the layers of validation that have to be
performed in order to avoid improperly cross-validated estimates.
","[{'version': 'v1', 'created': 'Fri, 16 May 2008 10:57:00 GMT'}]",2008-12-18,"[['McLachlan', 'G. J.', ''], ['Chevelu', 'J.', ''], ['Zhu', 'J.', '']]"
1503.08338,Maryanthe Malliaris,M. Malliaris and S. Shelah,Model-theoretic applications of cofinality spectrum problems,,,,MiSh:1051,math.LO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We apply the recently developed technology of cofinality spectrum problems to
prove a range of theorems in model theory. First, we prove that any model of
Peano arithmetic is $\lambda$-saturated iff it has cofinality $\geq \lambda$
and the underlying order has no $(\kappa, \kappa)$-cuts for regular $\kappa <
\lambda$. Second, assuming instances of GCH, we prove that $SOP_2$
characterizes maximality in the interpretability order $\trianglelefteq^*$,
settling a prior conjecture and proving that $SOP_2$ is a real dividing line.
Third, we establish the beginnings of a structure theory for $NSOP_2$, proving
that $NSOP_2$ can be characterized by the existence of few inconsistent higher
formulas. In the course of the paper, we show that $\mathfrak{p}_s =
\mathfrak{t}_s$ in any weak cofinality spectrum problem closed under
exponentiation (naturally defined). We also prove that the local versions of
these cardinals need not coincide, even in cofinality spectrum problems arising
from Peano arithmetic.
","[{'version': 'v1', 'created': 'Sat, 28 Mar 2015 19:30:34 GMT'}]",2015-03-31,"[['Malliaris', 'M.', ''], ['Shelah', 'S.', '']]"
